Design,Test #,Prompt Verbosity,# of missing Lines,ChatGPT3.5-R1-Syntax,ChatGPT3.5-R1-FPV,ChatGPT3.5-R2-Syntax,ChatGPT3.5-R2-FPV,ChatGPT3.5-R3-Syntax,ChatGPT3.5-R3-FPV,ChatGPT3.5-R4-Syntax,ChatGPT3.5-R4-FPV,ChatGPT3.5-R5-Syntax,ChatGPT3.5-R5-FPV,Codellama-R1-Syntax,Codellama-R1-FPV,Codellama-R2-Syntax,Codellama-R2-FPV,Codellama-R3-Syntax,Codellama-R3-FPV,Codellama-R4-Syntax,Codellama-R4-FPV,Codellama-R5-Syntax,Codellama-R5-FPV
REM021,Test 1,L,2,✓,Passed,Compilation failure,✗,✓,Passed,✓,Passed,✓,Passed,No Code,✗,No Code,✗,No Code,✗,No Code,✗,Compilation failure,✗
REM021,Test 2,L,24,✓,Failed,✓,Passed,✓,Failed,✓,Passed,✓,Failed,No Code,✗,No Code,✗,Compilation failure,✗,No Code,✗,No Code,✗
REM021,Test 3,L,25,✓,Passed,✓,Passed,✓,Passed,✓,Passed,✓,Passed,No Code,✗,Compilation failure,✗,No Code,✗,No Code,✗,No Code,✗
REM021,Test 4,M,2,✓,Passed,✓,Failed,✓,Passed,✓,Passed,✓,Passed,No Code,✗,No Code,✗,No Code,✗,No Code,✗,Compilation failure,✗
REM021,Test 5,M,24,✓,Passed,✓,Passed,✓,Passed,✓,Passed,✓,Passed,No Code,✗,No Code,✗,No Code,✗,Compilation failure,✗,No Code,✗
REM021,Test 6,M,25,✓,Passed,✓,Passed,✓,Passed,✓,Passed,✓,Passed,No Code,✗,No Code,✗,Compilation failure,✗,No Code,✗,No Code,✗
REM021,Test 7,H,2,✓,Failed,✓,Passed,✓,No Cover,✓,Passed,✓,Failed,No Code,✗,No Code,✗,Compilation failure,✗,No Code,✗,No Code,✗
REM021,Test 8,H,24,✓,Passed,✓,Passed,✓,Passed,✓,Passed,✓,Passed,Compilation failure,✗,Compilation failure,✗,No Code,✗,No Code,✗,Compilation failure,✗
REM021,Test 9,H,25,✓,Passed,Compilation failure,✗,✓,Passed,✓,Passed,✓,Passed,No Code,✗,No Code,✗,No Code,✗,Compilation failure,✗,No Code,✗
REM031,Test 1,L,1,✓,Passed,✓,Passed,✓,Passed,✓,Passed,✓,Failed (Cover: Passed),Compilation failure,✗,Compilation failure,✗,Pure text,✗,Pure text,✗,Compilation failure,✗
REM031,Test 2,L,3,✓,Failed,Compilation failure,✗,✓,Failed (Cover: Passed),✓,Failed (Cover: Passed),✓,Failed (Cover: Passed),Compilation failure,✗,Incomplete code,✗,Compilation failure,✗,Compilation failure,✗,Compilation failure,✗
REM031,Test 3,L,5,Compilation failure,✗,✓,Failed,✓,Failed (Cover: Passed),✓,Failed (Cover: Passed),Compilation failure,✗,Compilation failure,✗,Compilation failure,✗,Compilation failure,✗,Pure text,✗,Compilation failure,✗
REM031,Test 4,L,7,✓,Failed,Compilation failure,✗,Compilation failure,✗,✓,Failed (Cover: Passed),Compilation failure,✗,Incomplete code,✗,Pure text,✗,Compilation failure,✗,Compilation failure,✗,Compilation failure,✗
REM031,Test 5,M,1,Compilation failure,✗,✓,Passed,Compilation failure,✗,✓,Passed (Cover: Failed),✓,Passed (Cover: Failed),Compilation failure,✗,Pure text,✗,Compilation failure,✗,Compilation failure,✗,Compilation failure,✗
